"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var117","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Murzuq"
"dependent.var118","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Misrata"
"dependent.var119","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Benghazi"
"dependent.var120","7. Support from family and friends (not including remittances)","na","NA","NA",0,0,0,0,"mantika_label","Ubari"
"dependent.var121","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Sebha"
"dependent.var122","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Aljufra"
"dependent.var123","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Tripoli"
"dependent.var124","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Wadi Ashshati"
"dependent.var125","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Aljfara"
"dependent.var126","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Ejdabia"
"dependent.var127","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Alkufra"
"dependent.var128","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Sirt"
"dependent.var129","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Ghat"
"dependent.var130","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Al Jabal Al Gharbi"
"dependent.var131","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Derna"
"dependent.var132","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Azzawya"
"dependent.var133","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Zwara"
"dependent.var134","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Murzuq"
"dependent.var135","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Misrata"
"dependent.var136","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Benghazi"
"dependent.var137","8. Humanitarian assistance","na","NA","NA",0,0,0,0,"mantika_label","Ubari"
"dependent.var138","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Sebha"
"dependent.var139","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Aljufra"
"dependent.var140","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Tripoli"
"dependent.var141","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Wadi Ashshati"
"dependent.var142","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Aljfara"
"dependent.var143","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Ejdabia"
"dependent.var144","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Alkufra"
"dependent.var145","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Sirt"
"dependent.var146","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Ghat"
"dependent.var147","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Al Jabal Al Gharbi"
"dependent.var148","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Derna"
"dependent.var149","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Azzawya"
"dependent.var150","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Zwara"
"dependent.var151","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Murzuq"
"dependent.var152","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Misrata"
"dependent.var153","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Benghazi"
"dependent.var154","9. Zakat or charitable donations (not formal humanitarian assistance)","na","NA","NA",0,0,0,0,"mantika_label","Ubari"
"dependent.var155","10. Other (specify)","na","NA","NA",0,0,0,0,"mantika_label","Sebha"
