"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"100","request_3","mantika_label","yes","Alkufra",0.493399442829336,NA,0.414323135866387,0.572475749792285,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"101","request_3","mantika_label","no","Azzawya",0.338206874175335,NA,0.25559508364155,0.420818664709121,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"102","request_3","mantika_label","yes","Azzawya",0.661793125824665,NA,0.579181335290879,0.74440491635845,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"103","request_3","mantika_label","no","Benghazi",0.784571720316712,NA,0.727805493763653,0.841337946869771,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"104","request_3","mantika_label","yes","Benghazi",0.215428279683288,NA,0.158662053130229,0.272194506236347,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"105","request_3","mantika_label","no","Derna",0.826066985572313,NA,0.766104194330442,0.886029776814183,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"106","request_3","mantika_label","yes","Derna",0.173933014427687,NA,0.113970223185817,0.233895805669558,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"107","request_3","mantika_label","no","Ejdabia",0.873868365161048,NA,0.81844701704257,0.929289713279526,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"108","request_3","mantika_label","yes","Ejdabia",0.126131634838952,NA,0.0707102867204742,0.18155298295743,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"109","request_3","mantika_label","no","Ghat",0.627456869723956,NA,0.561378089892789,0.693535649555124,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"110","request_3","mantika_label","yes","Ghat",0.372543130276044,NA,0.306464350444876,0.438621910107211,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"111","request_3","mantika_label","no","Misrata",0.860754880312596,NA,0.804629152907594,0.916880607717598,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"112","request_3","mantika_label","yes","Misrata",0.139245119687404,NA,0.0831193922824015,0.195370847092406,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"113","request_3","mantika_label","no","Murzuq",0.192779625433069,NA,0.12394931400954,0.261609936856598,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"114","request_3","mantika_label","yes","Murzuq",0.807220374566931,NA,0.738390063143401,0.87605068599046,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"115","request_3","mantika_label","no","Sebha",0.695954667160541,NA,0.619018281176492,0.772891053144591,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"116","request_3","mantika_label","yes","Sebha",0.304045332839459,NA,0.227108946855409,0.380981718823508,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"117","request_3","mantika_label","no","Sirt",0.889486438357174,NA,0.849431066134986,0.929541810579363,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"118","request_3","mantika_label","yes","Sirt",0.110513561642826,NA,0.0704581894206374,0.150568933865014,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"119","request_3","mantika_label","no","Tripoli",0.849990866421809,NA,0.78943594007721,0.910545792766407,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"120","request_3","mantika_label","yes","Tripoli",0.150009133578192,NA,0.0894542072335929,0.21056405992279,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"121","request_3","mantika_label","no","Ubari",0.589401702953089,NA,0.522023310415267,0.656780095490912,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"122","request_3","mantika_label","yes","Ubari",0.410598297046911,NA,0.343219904509088,0.477976689584733,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"123","request_3","mantika_label","no","Wadi Ashshati",0.810642864784962,NA,0.740638347444141,0.880647382125784,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"124","request_3","mantika_label","yes","Wadi Ashshati",0.189357135215038,NA,0.119352617874216,0.259361652555859,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"125","request_3","mantika_label","no","Zwara",0.594053510105121,NA,0.506657181463841,0.681449838746402,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"126","request_3","mantika_label","yes","Zwara",0.405946489894879,NA,0.318550161253598,0.493342818536159,NA,NA,1.04940107595548e-40,"Pearson's X^2: Rao & Scott adjustment"
"127","request_4","mantika_label","no","Al Jabal Al Gharbi",0.739070121269074,NA,0.668490419527338,0.809649823010811,NA,NA,9.98870695553054e-09,"Pearson's X^2: Rao & Scott adjustment"
"128","request_4","mantika_label","yes","Al Jabal Al Gharbi",0.260929878730926,NA,0.190350176989189,0.331509580472663,NA,NA,9.98870695553054e-09,"Pearson's X^2: Rao & Scott adjustment"
"129","request_4","mantika_label","no","Aljfara",0.740275597557141,NA,0.656678743899911,0.823872451214371,NA,NA,9.98870695553054e-09,"Pearson's X^2: Rao & Scott adjustment"
